internal_id,author,birthYear,birthPlace
150,Georges Feydeau,1862,rue de Clichy
151,Marivaux,1688,Paris
152,Jean de La Fontaine,1621,Château-Thierry
153,Sunsiaré de Larcône,1935,Rambervillers
154,Roger Nimier,1925,Paris
155,Pierre de Ronsard,1524,château de la Possonnière
156,Peter Brook,1925,Chiswick
157,François-René de Chateaubriand,1768,Saint-Malo
158,Louis Leroy,1812,ancien 1er arrondissement de Paris
159,Jean Renoir,1894,18e arrondissement de Paris
160,Éric Rohmer,1920,Tulle
161,Georges Courteline,1858,Tours
162,Roman Polanski,1933,Paris
163,Colette Audry,1906,Orange
164,François Truffaut,1932,17e arrondissement de Paris
165,Françoise Hardy,1944,9e arrondissement de Paris
166,Jean Ferrat,1930,Vaucresson
167,Mohsen Makhmalbaf,1957,Téhéran
168,René Clair,1898,Paris
169,Henri Verneuil,1920,Tekirdağ
170,Aleksander Borejko Chodźko,1804,Kryvičy
171,Alfred Döblin,1878,Szczecin
172,Georg Forster,1754,Mokry Dwór
173,Marcel Arland,1899,Varennes-sur-Amance
174,Jenny d’Héricourt,1809,Besançon
175,René Depestre,1926,Jacmel
176,Jeremy Bentham,1748,Londres
177,Erwin Piscator,1893,Greifenstein
178,Zinaïda Hippius,1869,Beliov
179,Jules Oppert,1825,Hambourg
180,Alois Kayser,1877,Lupstein
181,Gisèle Freund,1908,Berlin-Schöneberg
182,Nicolas Rémy,1530,Charmes
183,Carl Einstein,1885,Neuwied
184,Daniel-Henry Kahnweiler,1884,Mannheim
185,Humbert de Moyenmoutier,1000,Lotharingie
186,Jean-Pol Martin,1943,Paris
187,René Schickele,1883,Obernai
188,Peter Scholl-Latour,1924,Bochum
189,Wilhelm Uhde,1874,Strzelce Krajeńskie
190,Annette Kolb,1870,Munich
191,Claire Goll,1891,Nuremberg
192,Alfred Neumann,1895,Lidzbark
193,Jules Mohl,1800,Stuttgart
194,Hans-Joachim Klein,1947,Francfort-sur-le-Main
195,Xavier Haegy,1870,Hirsingue
196,Charles Koechlin,1867,16e arrondissement de Paris
197,Romuald Karmakar,1965,Wiesbaden
198,Bodo Uhse,1904,Rastatt
199,Christian de La Mazière,1922,Tours
200,Alexander Büchner,1827,Darmstadt
201,Charles-Frédéric Reinhard,1761,Schorndorf
202,André Bellessort,1866,Laval
203,Alfred Grosser,1925,Francfort-sur-le-Main
204,Georges-Bernard Depping,1784,Münster
205,Siegfried Kracauer,1889,Francfort-sur-le-Main
206,Joseph Derenbourg,1811,Mayence
207,Maurice de Saxe,1696,Goslar
208,Lion Feuchtwanger,1884,Munich
209,Theodor Plievier,1892,Berlin
210,Théophile Conrad Pfeffel,1736,Colmar
211,Stephan Hermlin,1915,Chemnitz
212,Richard Coudenhove-Kalergi,1894,Ville de Tokyo
213,Charles-Louis de Ficquelmont,1777,Dieuze
214,Manès Sperber,1905,Zabolotiv
215,Emma Goldman,1869,Kaunas
216,Joseph-Louis Lagrange,1736,Turin
217,Jacques-André Bertrand,1946,Annonay
218,Henri Poincaré,1854,Nancy
219,François Mauriac,1885,Bordeaux
220,Christopher Tolkien,1924,Leeds
221,Jean-Baptiste de Lamarck,1744,Bazentin
222,Claude-Henri de Rouvroy de Saint-Simon,1760,Paris
223,Pierre de Coubertin,1863,7e arrondissement de Paris
224,Jean Cocteau,1889,Maisons-Laffitte
225,Jacques-Yves Cousteau,1910,Saint-André-de-Cubzac
226,Hervé Guibert,1955,Saint-Cloud
227,André Gorz,1923,Vienne
228,Axel Corti,1933,Boulogne-Billancourt
229,Sylvie Goulard,1964,Marseille
230,Mongo Beti,1932,Mbalmayo
231,Guy Étienne,1928,Saint-Carreuc
232,Abeozen,1896,Saint-Sauveur
233,Yves Bonnefoy,1923,Tours
234,Maurice Scève,1501,Lyon
235,Alice Rahon,1904,Chenecey-Buillon
236,Michel Le Nobletz,1577,Plouguerneau
237,Auguste Brizeux,1803,Lorient
238,Dominique Aury,1907,Rochefort
239,Marie d’Agoult,1805,Francfort-sur-le-Main
240,Hélène Grimaud,1969,Aix-en-Provence
241,Hucbald de Saint-Amand,840,Tournai
242,Flora Tristan,1803,Paris
243,Jean Fernand-Lafargue,1856,Bordeaux
244,Marie Bashkirtseff,1858,Havrontsi
245,Marie Bashkirtseff,1860,Havrontsi
246,Auguste Anicet-Bourgeois,1806,Paris
247,Jean Bruce,1921,Aillières-Beauvoir
248,André Jullien,1766,Chalon-sur-Saône
249,Émile Augier,1820,Valence
250,Lucien Tesnière,1893,Mont-Saint-Aignan
251,Frédéric Mitterrand,1947,16e arrondissement de Paris
252,Théodore Aubanel,1829,Avignon
253,Timothée de Fombelle,1973,Paris
254,Sophie Calle,1953,Paris
255,Narcisse Fournier,1803,Paris
256,Marcel Boulestin,1878,Poitiers
257,Isabelle d'Orléans-Bragance,1911,château d'Eu
258,Elena Poniatowska,1932,Paris
259,Elena Poniatowska,1933,Paris
260,Sheila,1945,Créteil
261,Hortense Mancini,1646,Rome
262,Marie-Anne Lenormand,1772,Alençon
263,Nicolas Oudinot,1791,Bar-le-Duc
264,Blaise de Vigenère,1523,Saint-Pourçain-sur-Sioule
265,Paul-Armand Gette,1927,7e arrondissement de Lyon
266,Monique Wittig,1935,Dannemarie
267,Anne Golon,1921,Toulon
268,Gaston Rébuffat,1921,Marseille
269,Alejandro Jodorowsky,1929,Iquique
270,Émile Bernard,1868,Lille
271,Louise d'Épinay,1726,Valenciennes
272,Arthur de Gobineau,1816,Ville-d'Avray
